Contract_ID|Plan_ID|NDC|Tier|Prior_Authorization|Step_Therapy|Quantity_Limit
H1234|001|00169451701|3|Y|N|Y
H1234|001|00169453001|3|Y|N|Y
H1234|001|00169457401|3|Y|N|Y
H1234|001|00169406001|2|N|N|Y
H1234|001|00169396701|2|N|N|Y
H1234|001|00002466601|4|Y|Y|Y
H1234|001|00002230001|3|Y|N|Y
H1234|002|00169451701|4|Y|Y|Y
H1234|002|00169406001|3|Y|Y|Y
H1234|002|00002466601|ST|Y|Y|Y
H1234|002|00002230001|3|Y|Y|Y
S5678|001|00169451701|2|N|N|Y
S5678|001|00169406001|1|N|N|N
S5678|001|00002466601|3|Y|N|Y
S5678|001|00002230001|2|N|N|Y
S5678|002|00169451701|4|Y|Y|Y
S5678|002|00169406001|3|N|Y|Y
S5678|002|00002466601|4|Y|Y|Y
S5678|002|00002230001|3|Y|Y|Y
H9999|001|00169451701|3|Y|N|Y
H9999|001|00169406001|2|N|N|Y
H9999|001|00002466601|Specialty|Y|Y|Y
H9999|001|00002230001|3|Y|N|Y
S1111|001|00169451701|3|N|N|Y
S1111|001|00169406001|2|N|N|N
S1111|001|00002466601|4|Y|Y|Y
S1111|001|00002230001|3|N|Y|Y
